disease,n_eval,tp,fp,tn,fn,precision_ppv,recall_sensitivity,f1,accuracy
renal_hypodensities,1389,18,13,1262,96,0.5806451612903226,0.15789473684210525,0.2482758620689655,0.9215262778977682
coronary_calcification,413,61,23,329,0,0.7261904761904762,1.0,0.8413793103448276,0.9443099273607748
hydronephrosis,2083,98,22,1955,8,0.8166666666666667,0.9245283018867925,0.8672566371681416,0.9855976956313011
renal_cyst,1843,514,70,1258,1,0.8801369863013698,0.9980582524271845,0.935395814376706,0.9614758545849159
pancreatic_atrophy,3187,140,0,3030,17,1.0,0.89171974522293,0.9427609427609428,0.9946658299341073
biliary_ductal_dilation,250,50,6,194,0,0.8928571428571429,1.0,0.9433962264150944,0.976
hiatal_hernia,2006,297,35,1674,0,0.8945783132530121,1.0,0.9443561208267091,0.9825523429710867
fracture,341,144,1,184,12,0.993103448275862,0.9230769230769231,0.9568106312292359,0.9618768328445748
metastatic_disease,146,41,3,102,0,0.9318181818181818,1.0,0.9647058823529412,0.9794520547945206
lymphadenopathy,247,45,0,199,3,1.0,0.9375,0.967741935483871,0.9878542510121457
pleural_effusion,1328,753,0,529,46,1.0,0.9424280350438048,0.970360824742268,0.9653614457831325
osteopenia,1130,136,1,986,7,0.9927007299270073,0.951048951048951,0.9714285714285714,0.9929203539823008
thrombosis,102,69,3,29,1,0.9583333333333334,0.9857142857142858,0.971830985915493,0.9607843137254902
appendicitis,85,37,0,46,2,1.0,0.9487179487179487,0.9736842105263158,0.9764705882352941
bowel_obstruction,1341,58,3,1280,0,0.9508196721311475,1.0,0.9747899159663865,0.9977628635346756
free_air,926,41,1,883,1,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9978401727861771
prostatomegaly,1220,76,0,1143,1,1.0,0.987012987012987,0.9934640522875817,0.9991803278688525
ascites,527,352,0,171,4,1.0,0.9887640449438202,0.9943502824858758,0.9924098671726755
surgically_absent_gallbladder,2889,805,2,2075,7,0.9975216852540273,0.9913793103448276,0.9944410129709698,0.9968847352024922
anasarca,2185,332,0,1850,3,1.0,0.991044776119403,0.9955022488755623,0.9986270022883296
submucosal_edema,293,140,1,152,0,0.9929078014184397,1.0,0.99644128113879,0.9965870307167235
atelectasis,1761,872,0,887,2,1.0,0.9977116704805492,0.9988545246277205,0.9988642816581488
atherosclerosis,899,848,1,50,0,0.9988221436984688,1.0,0.9994107248084856,0.9988876529477196
splenomegaly,3197,135,0,3062,0,1.0,1.0,1.0,1.0
hepatomegaly,1126,54,0,1072,0,1.0,1.0,1.0,1.0
cardiomegaly,397,116,0,281,0,1.0,1.0,1.0,1.0
gallstones,372,142,0,230,0,1.0,1.0,1.0,1.0
hepatic_steatosis,288,264,0,24,0,1.0,1.0,1.0,1.0
aortic_valve_calcification,133,69,0,64,0,1.0,1.0,1.0,1.0
abdominal_aortic_aneurysm,94,16,0,78,0,1.0,1.0,1.0,1.0
